Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 36.58      0.55     0.55  1939546     0.00     0.00  ExactCoverDancingLinks::getMinColumn()
 12.08      0.72     0.18  7758184     0.00     0.00  ExactCoverDancingLinks::uncover(node*)
  9.40      0.86     0.14  7758184     0.00     0.00  ExactCoverDancingLinks::cover(node*)
  4.03      0.93     0.06      375     0.00     0.00  CreateToroidalLinkedList::addNodes()
  3.69      0.98     0.06      375     0.00     0.00  ExactCoverDancingLinks::dancingLinksAlgorithmX(int)
  2.01      1.01     0.03 21010964     0.00     0.00  std::array<int, 2ul>::data() const
  2.01      1.04     0.03  5252741     0.00     0.00  bool std::__lexicographical_compare<false>::__lc<int const*, int const*>(int const*, int const*, int const*, int const*)
  2.01      1.07     0.03  5252741     0.00     0.00  bool std::__lexicographical_compare_aux1<int const*, int const*>(int const*, int const*, int const*, int const*)
  1.68      1.09     0.03 22019404     0.00     0.00  int const* std::__niter_base<int const*>(int const*)
  1.34      1.11     0.02 10505482     0.00     0.00  std::array<int, 2ul>::end() const
  1.34      1.14     0.02  5252741     0.00     0.00  bool std::__lexicographical_compare_impl<int const*, int const*, __gnu_cxx::__ops::_Iter_less_iter>(int const*, int const*, int const*, int const*, __gnu_cxx::__ops::_Iter_less_iter)
  1.34      1.16     0.02   820125     0.00     0.00  std::set<std::array<int, 2ul>, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::insert(std::array<int, 2ul>&&)
  1.01      1.17     0.01  5252741     0.00     0.00  bool std::__lexicographical_compare_aux<int const*, int const*>(int const*, int const*, int const*, int const*)
  1.01      1.19     0.01    30375     0.00     0.00  std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_erase(std::_Rb_tree_node<std::array<int, 2ul> >*)
  0.67      1.20     0.01 13585668     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<int const*, int const*>(int const*, int const*) const
